﻿abandon	từ bỏ
abandoned	bị ruồng bỏ
ability	năng lực
able	có tài
unable	không có tài
about	về
above	lên trên
abroad	ngoài trời
absence	sự vắng mặt
absent	vắng mặt, nghỉ
absolute	hoàn toàn
absolutely	tuyệt đối
absorb	lôi cuốn
abuse	lạm dụng
academic	viện hàn lâm
accent	dấu trọng âm
accept	chấp thuận
acceptable	chấp thuận
access	đường vào
accident	rủi ro
accidental	bất ngờ
accidentally	ngẫu nhiên
accommodation	điều tiết
accompany	kèm theo
according	y theo
account	tính toán
accurate	xác đáng
accurately	chính xác
accuse	kết tội
achieve	dành được
achievement	thành tựu
acid	axit
acknowledge	thừa nhận
acquire	kiếm được
across	ngang qua
act	đối xử
action	tác động
active	nhanh nhẹn
actor	diễn viên
actual	có thật
actually	hiện tại
advertisement	quảng	cáo
adapt	lắp vào
add	thêm vào
addition	phép cộng
additional	tăng thêm
address	địa chỉ
adequate	đầy đủ
adequately	thỏa đáng
adjust	điều chỉnh
admiration	thán phục
admire	thán phục
admit	kết hợp
adopt	bố mẹ nuôi
adult	trưởng thành
advance	đề xuất
advanced	cấp cao
advance	sớm
advantage	lợi thế
advice	lời chỉ bảo
advise	răn bảo
affair	việc
affect	tác động đến
afford	điều kiện
afraid	hoảng sợ
after	sau khi
afternoon	buổi chiều
afterwards	sau đấy
again	lần nữa
against	phản đối
age	tuổi
aged	già đi
agency	trung gian
agent	tác nhân
aggressive	hung hăng 
ago	trước đây
agree	tán thành
agreement	hợp đồng
ahead	phía trước
